Hidden Layers,Activation Function,Epochs,Learning Rate,Batch Size,MSE
[4],Tanh,25,0.01,64,0.016653286
[4],Tanh,25,0.01,128,0.015874978
[4],Tanh,25,0.01,256,0.01823457
[4],Tanh,25,0.01,512,0.028190088
[4],Tanh,25,0.001,16,0.019307617
[4],Tanh,25,0.001,32,0.019277036
[4],Tanh,25,0.001,64,0.022894181
[4],Tanh,25,0.001,128,0.047810476
[4],Tanh,25,0.001,256,0.095649794
[4],Tanh,25,0.001,512,0.24710569
[4],Tanh,25,0.0001,16,0.051502235
[4],Tanh,25,0.0001,32,0.046276905
[4],Tanh,25,0.0001,64,0.123530746
[4],Tanh,25,0.0001,128,0.3839744
[4],Tanh,25,0.0001,256,0.7421379
[4],Tanh,25,0.0001,512,0.5374489
[4],Tanh,50,0.1,16,0.01492636
[4],Tanh,50,0.1,32,0.014924923
[4],Tanh,50,0.1,64,0.015293923
[4],Tanh,50,0.1,128,0.015954688
[4],Tanh,50,0.1,256,0.015953682
[4],Tanh,50,0.1,512,0.016039634
[4],Tanh,50,0.01,16,0.015512357
[4],Tanh,50,0.01,32,0.015819406
[4],Tanh,50,0.01,64,0.016502656
[4],Tanh,50,0.01,128,0.01608206
[4],Tanh,50,0.01,256,0.016629677
[4],Tanh,50,0.01,512,0.020669797
[4],Tanh,50,0.001,16,0.016271822
[4],Tanh,50,0.001,32,0.017873427
[4],Tanh,50,0.001,64,0.021509241
[4],Tanh,50,0.001,128,0.021542102
[4],Tanh,50,0.001,256,0.050980315
[4],Tanh,50,0.001,512,0.05907301
[4],Tanh,50,0.0001,16,0.02496251
[4],Tanh,50,0.0001,32,0.04756233
[4],Tanh,50,0.0001,64,0.14683795
[4],Tanh,50,0.0001,128,0.027318435
[4],Tanh,50,0.0001,256,0.19105253
[4],Tanh,50,0.0001,512,0.67527765
[4],Tanh,100,0.1,16,0.0147112375
[4],Tanh,100,0.1,32,0.014798632
[4],Tanh,100,0.1,64,0.015157178
[4],Tanh,100,0.1,128,0.014716762
[4],Tanh,100,0.1,256,0.015705682
[4],Tanh,100,0.1,512,0.01583767
[4],Tanh,100,0.01,16,0.0155967865
[4],Tanh,100,0.01,32,0.014937852
[4],Tanh,100,0.01,64,0.015210619
[4],Tanh,100,0.01,128,0.01559758
[4],Tanh,100,0.01,256,0.017015193
[4],Tanh,100,0.01,512,0.017014697
[4],Tanh,100,0.001,16,0.016285997
[4],Tanh,100,0.001,32,0.016127253
[4],Tanh,100,0.001,64,0.018592568
[4],Tanh,100,0.001,128,0.020538084
[4],Tanh,100,0.001,256,0.024747545
[4],Tanh,100,0.001,512,0.046154723
[4],Tanh,100,0.0001,16,0.022299377
[4],Tanh,100,0.0001,32,0.04283622
[4],Tanh,100,0.0001,64,0.044536714
[4],Tanh,100,0.0001,128,0.10985941
[4],Tanh,100,0.0001,256,0.07586608
[4],Tanh,100,0.0001,512,0.10302389
[4],Tanh,250,0.1,16,0.014805029
[4],Tanh,250,0.1,32,0.014874605
[4],Tanh,250,0.1,64,0.014416899
[4],Tanh,250,0.1,128,0.014872395
[4],Tanh,250,0.1,256,0.01509348
[4],Tanh,250,0.1,512,0.015479852
[4],Tanh,250,0.01,16,0.015142403
[4],Tanh,250,0.01,32,0.015185267
[4],Tanh,250,0.01,64,0.0151297515
[4],Tanh,250,0.01,128,0.016139187
[4],Tanh,250,0.01,256,0.01612905
[4],Tanh,250,0.01,512,0.016477233
[4],Tanh,250,0.001,16,0.015795873
[4],Tanh,250,0.001,32,0.016601333
[4],Tanh,250,0.001,64,0.016298676
[4],Tanh,250,0.001,128,0.016169291
[4],Tanh,250,0.001,256,0.020589845
[4],Tanh,250,0.001,512,0.023069352
[4],Tanh,250,0.0001,16,0.020862892
[4],Tanh,250,0.0001,32,0.02255498
[4],Tanh,250,0.0001,64,0.024804167
[4],Tanh,250,0.0001,128,0.030943928
[4],Tanh,250,0.0001,256,0.091683514
[4],Tanh,250,0.0001,512,0.12732483
[8],Identity,1,0.1,16,0.018456137
[8],Identity,1,0.1,32,0.016231325
[8],Identity,1,0.1,64,0.020785887
[8],Identity,1,0.1,128,0.016979028
[8],Identity,1,0.1,256,0.022853961
[8],Identity,1,0.1,512,0.03352743
[8],Identity,1,0.01,16,0.016833885
[8],Identity,1,0.01,32,0.02173871
[8],Identity,1,0.01,64,0.03666721
[8],Identity,1,0.01,128,0.0730172
[8],Identity,1,0.01,256,0.17508551
[8],Identity,1,0.01,512,0.18845162
[8],Identity,1,0.001,16,0.07699261
[8],Identity,1,0.001,32,0.24642795
[8],Identity,1,0.001,64,0.480865
[8],Identity,1,0.001,128,0.17687237
[8],Identity,1,0.001,256,0.31572652
[8],Identity,1,0.001,512,0.5200754
[8],Identity,1,0.0001,16,0.60647273
[8],Identity,1,0.0001,32,0.13911544
[8],Identity,1,0.0001,64,0.40023592
[8],Identity,1,0.0001,128,0.6690188
[8],Identity,1,0.0001,256,0.45922112
[8],Identity,1,0.0001,512,0.977131
[8],Identity,10,0.1,16,0.016113898
[8],Identity,10,0.1,32,0.016371481
[8],Identity,10,0.1,64,0.015826443
[8],Identity,10,0.1,128,0.01639024
[8],Identity,10,0.1,256,0.01612493
[8],Identity,10,0.1,512,0.016145658
[8],Identity,10,0.01,16,0.016209535
[8],Identity,10,0.01,32,0.016420716
[8],Identity,10,0.01,64,0.017649427
[8],Identity,10,0.01,128,0.017330857
[8],Identity,10,0.01,256,0.02826779
[8],Identity,10,0.01,512,0.026763378
[8],Identity,10,0.001,16,0.02183323
[8],Identity,10,0.001,32,0.023029564
[8],Identity,10,0.001,64,0.06051223
